# STROOP MappingJP.map @ dev, fetched 2026-08-15
0x13000000	bhvStarDoor
0x13000054	bhvMrI
0x1300008c	bhvMrIBody
0x130000ac	bhvMrIParticle
0x130000f8	bhvPurpleParticle
0x13000118	bhvGiantPole
0x13000144	bhvPoleGrabbing
0x13000174	bhvThiHugeIslandTop
0x13000194	bhvThiTinyIslandTop
0x130001ac	bhvCapSwitchBase
0x130001cc	bhvCapSwitch
0x130001f4	bhvKingBobomb
0x13000254	bhvBobombAnchorMario
0x13000278	bhvBetaChestBottom
0x1300029c	bhvBetaChestLid
0x130002b8	bhvBubbleParticleSpawner
0x130002e4	bhvBubbleMaybe
0x13000338	bhvSmallWaterWave
0x13000398	bhvSmallWaterWave398
0x130003bc	bhvWaterAirBubble
0x13000400	bhvSmallParticle
0x13000428	bhvPlungeBubble
0x13000444	bhvSmallParticleSnow
0x1300046c	bhvSmallParticleBubbles
0x13000494	bhvFishGroup
0x130004a8	bhvCannon
0x130004e4	bhvCannonBarrel
0x13000500	bhvCannonBaseUnused
0x13000528	bhvChuckya
0x13000584	bhvChuckyaAnchorMario
0x130005a8	bhvUnused05A8
0x130005b4	bhvRotatingPlatform
0x130005d8	bhvTower
0x13000600	bhvBulletBillCannon
0x13000624	bhvWfBreakableWallRight
0x13000638	bhvWfBreakableWallLeft
0x1300066c	bhvKickableBoard
0x130006a4	bhvTowerDoor
0x130006d8	bhvRotatingCounterClockwise
0x130006e0	bhvWfRotatingWoodenPlatform
0x13000708	bhvKoopaShellUnderwater
0x13000720	bhvExitPodiumWarp
0x1300075c	bhvFadingWarp
0x13000780	bhvWarp
0x130007a0	bhvWarpPipe
0x130007dc	bhvWhitePuffExplosion
0x130007f8	bhvSpawnedStar
0x1300080c	bhvSpawnedStarNoLevelExit
0x13000830	bhvMrIBlueCoin
0x13000888	bhvCoinInsideBoo
0x130008d0	bhvCoinFormationSpawn
0x130008ec	bhvCoinFormation
0x1300090c	bhvOneCoin
0x1300091c	bhvYellowCoin
0x13000940	bhvTemporaryYellowCoin
0x13000964	bhvThreeCoinsSpawn
0x13000984	bhvTenCoinsSpawn
0x130009a4	bhvSingleCoinGetsSpawned
